PROD_ID,PROD_NUM,PROD_DESC,RECIPE_NAME
050326_191650,050326_191650,N/A,Recipe83
050526_054346,050526_054346,N/A,Recipe79
050726_114934,050726_114934,N/A,Recipe27
050826_162508,050826_162508,N/A,Recipe53
050926_212916,050926_212916,N/A,Recipe99
051126_094140,051126_094140,N/A,Recipe2
051226_065026,051226_065026,N/A,Recipe24
051326_233820,051326_233820,N/A,Recipe32
051526_160039,051526_160039,N/A,Recipe46
051726_013236,051726_013236,N/A,Recipe25
051826_030603,051826_030603,N/A,Recipe72
052026_032421,052026_032421,N/A,Recipe48
052226_015621,052226_015621,N/A,Recipe32
052226_232939,052226_232939,N/A,Recipe13
052526_061159,052526_061159,N/A,Recipe54
052726_131312,052726_131312,N/A,Recipe44
052826_102226,052826_102226,N/A,Recipe34
053026_213329,053026_213329,N/A,Recipe63
060126_044304,060126_044304,N/A,Recipe32
060226_025555,060226_025555,N/A,Recipe4
