SEGMENT_ID,PROD_ID,USR_ID,START_TIME,STOP_TIME,RUN_TIME,REAL_TOTAL_PROD,REAL_STEAM2COND,REAL_STEAM2EXTR,REAL_WATER2COND,REAL_OIL2CONDEXTR,REAL_WATER2EXTR,REAL_ADD2CONDEXTR,REAL_ADD5,REAL_ADD6,WASTE_TOTAL_PROD,WASTE_STEAM2COND,WASTE_STEAM2EXTR,WASTE_WATER2COND,WASTE_OIL2CONDEXTR,WASTE_WATER2EXTR,WASTE_ADD2CONDEXTR,WASTE_ADD5,WASTE_ADD6
SEG_050326_191650_01,050326_191650,N/A,2026-05-03T19:16:50,2026-05-03T23:59:59,12876,6.418,0.645,0.366,0.134,0.184,0.173,0.065,0.03,0.023,0.0931,0.0094,0.0053,0.0019,0.0027,0.0025,0.0009,0.00044,0.00033
SEG_050326_191650_02,050326_191650,N/A,2026-05-04T00:00:00,2026-05-04T20:20:27,52814,24.761,3.563,1.74,0.584,0.304,0.667,0.287,0.048,0.07,0.4765,0.0686,0.0335,0.0112,0.0059,0.0128,0.0055,0.00092,0.00135
SEG_050526_054346_01,050526_054346,N/A,2026-05-05T05:43:46,2026-05-05T23:59:59,49062,30.279,3.57,1.719,0.806,0.876,1.124,0.181,0.143,0.108,0.528,0.0623,0.03,0.0141,0.0153,0.0196,0.0032,0.00249,0.00188
SEG_050526_054346_02,050526_054346,N/A,2026-05-06T00:00:00,2026-05-06T23:59:59,70968,31.185,4.589,2.948,0.803,0.385,1.116,0.328,0.1,0.097,0.5053,0.0744,0.0478,0.013,0.0062,0.0181,0.0053,0.00162,0.00157
SEG_050526_054346_03,050526_054346,N/A,2026-05-07T00:00:00,2026-05-07T04:27:32,14752,6.896,0.774,0.497,0.183,0.114,0.255,0.133,0.033,0.031,0.0906,0.0102,0.0065,0.0024,0.0015,0.0034,0.0017,0.00043,0.00041
SEG_050726_114934_01,050726_114934,N/A,2026-05-07T11:49:34,2026-05-07T23:59:59,30856,18.397,2.516,1.439,0.571,0.195,0.909,0.304,0.055,0.042,0.3424,0.0468,0.0268,0.0106,0.0036,0.0169,0.0057,0.00102,0.00078
SEG_050726_114934_02,050726_114934,N/A,2026-05-08T00:00:00,2026-05-08T10:35:11,30851,15.464,1.929,1.011,0.772,0.356,0.335,0.122,0.047,0.017,0.1964,0.0245,0.0128,0.0098,0.0045,0.0043,0.0015,0.0006,0.00022
SEG_050826_162508_01,050826_162508,N/A,2026-05-08T16:25:08,2026-05-08T23:59:59,19913,13.269,1.335,0.963,0.568,0.233,0.441,0.158,0.06,0.026,0.2391,0.0241,0.0173,0.0102,0.0042,0.0079,0.0028,0.00108,0.00047
SEG_050826_162508_02,050826_162508,N/A,2026-05-09T00:00:00,2026-05-09T18:41:52,62964,38.828,5.019,2.172,1.154,0.449,1.483,0.246,0.052,0.05,0.5962,0.0771,0.0334,0.0177,0.0069,0.0228,0.0038,0.0008,0.00077
SEG_050926_212916_01,050926_212916,N/A,2026-05-09T21:29:16,2026-05-09T23:59:59,7262,4.086,0.588,0.375,0.194,0.051,0.111,0.065,0.006,0.02,0.0544,0.0078,0.005,0.0026,0.0007,0.0015,0.0009,8.00E-05,0.00027
SEG_050926_212916_02,050926_212916,N/A,2026-05-10T00:00:00,2026-05-10T23:59:59,63399,42.378,5.23,2.93,1.877,0.848,1.716,0.746,0.152,0.201,0.5293,0.0653,0.0366,0.0234,0.0106,0.0214,0.0093,0.0019,0.00251
SEG_050926_212916_03,050926_212916,N/A,2026-05-11T00:00:00,2026-05-11T05:49:57,15845,8.289,1.209,0.818,0.214,0.167,0.228,0.071,0.01,0.011,0.1033,0.0151,0.0102,0.0027,0.0021,0.0028,0.0009,0.00012,0.00014
